Word:  --> Said:5855
Word: buttocks --> Said:1
Word: buzz --> Said:13
Word: buzzwell --> Said:2
Word: buzzy --> Said:1
Word: by --> Said:7
Word: bye --> Said:7
Word: cab --> Said:1
Word: cafeteria --> Said:1
Word: cake --> Said:1
Word: call --> Said:6
Word: called --> Said:2
Word: calories --> Said:1
Word: campaign --> Said:1
Word: camps --> Said:2
Word: can --> Said:17
Word: can't --> Said:25
Word: can'tjust --> Said:1
Word: candy --> Said:2
Word: cannot --> Said:2
Word: capable --> Said:1
Word: captain --> Said:1
Word: capture --> Said:1
Word: car --> Said:1
Word: card --> Said:2
Word: care --> Said:1
Word: career --> Said:1
Word: careful --> Said:2
Word: carefully --> Said:2
Word: carob --> Said:1
Word: case --> Said:6
Word: casually --> Said:1
Word: catch --> Said:2
Word: celebrate --> Said:1
Word: celebrating --> Said:1
Word: celery --> Said:1
Word: center --> Said:1
Word: century --> Said:1
Word: ceremonies --> Said:1
Word: chance --> Said:5
Word: change --> Said:2
Word: changes --> Said:1
Word: charges --> Said:1
Word: check --> Said:8
Word: cheering --> Said:1
Word: cheese --> Said:1
Word: children --> Said:1
Word: chill --> Said:1
Word: chips --> Said:1
Word: choice --> Said:3
Word: choices --> Said:1
Word: choose --> Said:1
Word: chopsticks --> Said:1
Word: church --> Said:1
Word: churning --> Said:1
Word: chute --> Said:1
Word: cicada --> Said:1
Word: cinnamon --> Said:1
Word: circular --> Said:1
Word: circumstances --> Said:1
Word: class --> Said:1
Word: clean --> Said:1
Word: clear --> Said:1
Word: clients --> Said:1
Word: close --> Said:7
Word: closed --> Said:2
Word: clothes --> Said:1
Word: cloudy --> Said:1
Word: coaster --> Said:1
Word: cockpit --> Said:1
Word: coffee --> Said:3
Word: collectively --> Said:1
Word: collector --> Said:1
Word: college --> Said:1
Word: color --> Said:2
Word: colored --> Said:1
Word: combined --> Said:1
Word: come --> Said:6
Word: comes --> Said:2
Word: coming --> Said:6
Word: common --> Said:2
Word: community --> Said:2
Word: compadres --> Said:1
Word: companies --> Said:2
Word: company --> Said:1
Word: compelling --> Said:1
Word: compete --> Said:1
Word: competition --> Said:1
Word: complete --> Said:2
Word: completely --> Said:1
Word: comrades --> Said:1
Word: concentrate --> Said:1
Word: concludes --> Said:1
Word: congratulations --> Said:1
Word: consider --> Said:1
Word: considered --> Said:1
Word: conspiracy --> Said:1
Word: constantly --> Said:1
Word: contoured --> Said:1
Word: contraption --> Said:1
Word: control --> Said:1
Word: controls --> Said:1
Word: coolest --> Said:1
Word: cooling --> Said:2
Word: coordinator --> Said:1
Word: copilot --> Said:1
Word: copy --> Said:1
Word: corrected --> Said:1
Word: correctly --> Said:1
Word: cotton --> Said:1
Word: couch --> Said:1
Word: could --> Said:24
Word: couldn't --> Said:6
Word: counting --> Said:1
Word: county --> Said:1
Word: couple --> Said:5
Word: course --> Said:5
Word: coursing --> Said:1
Word: court --> Said:4
Word: court's --> Said:1
Word: cousin --> Said:2
Word: cousins --> Said:3
Word: covered --> Said:1
Word: crashing --> Said:1
Word: crazy --> Said:8
Word: cream --> Said:1
Word: creatures --> Said:1
Word: creep --> Said:2
Word: crew --> Said:1
Word: cricket --> Said:2
Word: crime --> Said:1
Word: crossed --> Said:1
Word: crowds --> Said:1
Word: crud --> Said:2
Word: crumb --> Said:2
Word: cry --> Said:1
Word: culture --> Said:1
Word: cup --> Said:1
Word: cups --> Said:3
Word: cut --> Said:1
Word: da --> Said:1
Word: dad --> Said:3
Word: dada --> Said:1
Word: daffodil --> Said:1
Word: daisies --> Said:1
Word: damage --> Said:1
Word: dangerous --> Said:1
Word: dash --> Said:1
Word: date --> Said:1
Word: dated --> Said:1
Word: dating --> Said:2
Word: dave --> Said:1
Word: dawg --> Said:1
Word: day --> Said:9
Word: day's --> Said:1
Word: days --> Said:4
Word: dead --> Said:9
Word: deadified --> Said:1
Word: deady --> Said:1
Word: deal --> Said:2
Word: dean --> Said:1
Word: death --> Said:1
Word: decide --> Said:3
Word: decision --> Said:2
Word: decisions --> Said:1
Word: deck's --> Said:1
Word: dee --> Said:1
Word: degrees --> Said:2
Word: delay --> Said:1
Word: deli --> Said:1
Word: demand --> Said:3
Word: denouncing --> Said:1
Word: deny --> Said:1
Word: depends --> Said:1
Word: desk --> Said:3
Word: destruction --> Said:1
Word: detail --> Said:1
Word: developing --> Said:1
Word: devilishly --> Said:1
Word: diabolical --> Said:1
Word: did --> Said:15
Word: didn't --> Said:6
Word: die --> Said:2
Word: died --> Said:2
Word: difference --> Said:3
Word: different --> Said:2
Word: difficult --> Said:1
Word: dirty --> Said:1
Word: disaster --> Said:1
Word: disconcerting --> Said:1
Word: discussing --> Said:1
Word: disease --> Said:2
Word: dismissal --> Said:1
Word: distant --> Said:2
Word: distinctive --> Said:1
Word: distinguished --> Said:1
Word: disturbing --> Said:1
Word: divine --> Said:1
Word: division --> Said:1
Word: do --> Said:68
Word: doctor --> Said:1
Word: doctored --> Said:1
Word: documentary --> Said:1
Word: does --> Said:7
Word: doesn't --> Said:7
Word: doggone --> Said:1
Word: dogs --> Said:1
Word: doing --> Said:14
Word: dollar --> Said:1
Word: don't --> Said:64
Word: done --> Said:8
Word: dots --> Said:1
Word: down --> Said:16
Word: downstairs --> Said:1
Word: downtown --> Said:1
Word: drag --> Said:1
Word: dragonfly --> Said:1
Word: drain --> Said:2
Word: drapes --> Said:1
Word: dream --> Said:1
Word: dreaming --> Said:1
Word: dress --> Said:2
Word: dressed --> Said:1
Word: drive --> Said:1
Word: driving --> Said:1
Word: drop --> Said:5
Word: dude --> Said:1
Word: dumb --> Said:1
Word: during --> Said:3
Word: dustbuster --> Said:1
Word: dying --> Said:2
Word: dynamite --> Said:1
Word: ear --> Said:1
Word: earned --> Said:1
Word: earth --> Said:2
Word: easy --> Said:1
Word: eat --> Said:7
Word: eating --> Said:1
Word: ecstasy --> Said:1
Word: eight --> Said:1
Word: eighth --> Said:1
Word: elastic --> Said:1
Word: elected --> Said:1
Word: emmy --> Said:1
Word: emotion: --> Said:1
Word: emotional --> Said:1
Word: employ --> Said:1
Word: employment --> Said:1
Word: end --> Said:2
Word: engines --> Said:2
Word: enjoy --> Said:2
Word: enough --> Said:8
Word: entire --> Said:4
Word: equals --> Said:1
Word: er --> Said:1
Word: ers --> Said:1
Word: even --> Said:4
Word: evening --> Said:1
Word: events --> Said:1
Word: ever --> Said:6
Word: every --> Said:8
Word: everybody --> Said:5
Word: everyone --> Said:3
Word: everything --> Said:5
Word: everywhere --> Said:2
Word: evidence --> Said:2
Word: exactly --> Said:1
Word: example --> Said:2
Word: except --> Said:2
Word: excited --> Said:2
Word: excuse --> Said:1
Word: exhausting --> Said:1
Word: existence --> Said:1
Word: experience --> Said:4
Word: explain --> Said:1
Word: exploded --> Said:1
Word: exploiting --> Said:1
Word: eye --> Said:2
Word: eyes --> Said:2
Word: face --> Said:3
Word: faces --> Said:1
Word: fact --> Said:1
Word: faculty --> Said:1
Word: fairy --> Said:1
Word: fake --> Said:3
Word: falls --> Said:1
Word: familiar --> Said:1
Word: fantastic --> Said:1
Word: far --> Said:1
Word: farm --> Said:1
Word: farms --> Said:5
Word: fashion --> Said:1
Word: fast --> Said:1
Word: faster --> Said:1
Word: fat --> Said:2
Word: fatal --> Said:1
Word: father --> Said:1
Word: father's --> Said:1
Word: fault --> Said:3
Word: favor --> Said:1
Word: favorite --> Said:1
Word: feel --> Said:5
Word: feeling --> Said:6
Word: felled --> Said:1
Word: fellow --> Said:3
Word: felt --> Said:2
Word: few --> Said:1
Word: fiasco --> Said:1
Word: field --> Said:1
Word: filthy --> Said:1
Word: final --> Said:1
Word: finally --> Said:2
Word: find --> Said:2
Word: finds --> Said:1
Word: fine --> Said:4
Word: finish --> Said:1
Word: first --> Said:7
Word: fit --> Said:1
Word: five --> Said:5
Word: flabbergasted --> Said:1
Word: flames --> Said:1
Word: flayman --> Said:2
Word: flew --> Said:1
Word: flies --> Said:1
Word: flight --> Said:6
Word: float --> Said:3
Word: floats --> Said:1
Word: floral --> Said:1
Word: florist --> Said:5
Word: florist's --> Said:1
Word: flower --> Said:13
Word: flowered --> Said:1
Word: flowers --> Said:23
Word: flush --> Said:1
Word: fly --> Said:15
Word: flying --> Said:7
Word: fold --> Said:1
Word: folds --> Said:1
Word: follow --> Said:1
Word: food --> Said:3
Word: fool --> Said:1
Word: for --> Said:51
Word: force --> Said:1
Word: forcibly --> Said:1
Word: forever --> Said:1
Word: forget --> Said:2
Word: former --> Said:1
Word: formula --> Said:1
Word: forward --> Said:3
Word: fozzie --> Said:1
Word: frankie --> Said:1
Word: freak --> Said:1
Word: freaks --> Said:1
Word: free --> Said:11
Word: freeze --> Said:2
Word: fresh --> Said:1
Word: fried --> Said:1
Word: friend --> Said:3
Word: friends --> Said:3
Word: from --> Said:22
Word: front --> Said:1
Word: frosting --> Said:2
Word: fruits --> Said:1
Word: ftd --> Said:1
Word: full --> Said:3
Word: fun --> Said:2
Word: functioning --> Said:1
Word: funeral --> Said:1
Word: funny --> Said:7
Word: fuzz --> Said:3
Word: fuzzy --> Said:1
Word: gallons --> Said:1
Word: game --> Said:1
Word: games --> Said:1
Word: gandhi --> Said:1
Word: ganic --> Said:1
Word: garnishments --> Said:1
Word: gate --> Said:2
Word: gel --> Said:1
Word: genius --> Said:1
Word: gentlemen --> Said:3
Word: get --> Said:37
Word: gets --> Said:2
Word: getting --> Said:7
Word: giant --> Said:6
Word: gift --> Said:1
Word: girl --> Said:3
Word: girlfriend --> Said:1
Word: girls --> Said:3
Word: give --> Said:2
Word: giving --> Said:1
Word: glad --> Said:2
Word: glasses --> Said:1
Word: global --> Said:1
Word: glorification --> Said:1
Word: glow --> Said:1
